,Import Capacity (MW)
DKW1-SE03,715.0
DKW1-UK00,1400.0
EE00-EE00EV2W,2588.25432437
EE00-EE00RETE,100000.0
EE00-FI00,1000.0
EE00H2MT-FI00H2MT (1) Expansion,2500.0
EE00H2MT-FI00H2MT (2) Expansion,708.33333331
EE00H2MT-LV00H2MT (1) Expansion,7623.59375
EE00-LV00,900.0
EE00RETE-EE00EV2W,50.61897347
ES00-ES00EV2W,20485.08259218
ES00-ES00RETE,100000.0
ES00-FR00,5000.0
ES00-FR00 Real 1,1500.0
ES00-FR00 Real 2,1500.0
ES00H2MT-FR00H2MT (1) Expansion,7031.25
ES00H2MT-FR00H2MT (2) Expansion,2343.75
ES00H2MT-PT00H2MT (1) Expansion,4500.0
ES00H2MT-PT00H2MT (2) Expansion,195.0
ES00-PT00,3500.0
ES00-PT00 Concept 1,500.0
ES00RETE-ES00EV2W,2435.36650128
FI00-EE00 Concept 2,1000.0
FI00-FI00EV2W,5556.64601032
FI00-FI00RETE,100000.0
FI00H2MT-SE01H2MT (2) Expansion,5250.0
FI00RETE-FI00EV2W,419.40116861
FI00-SE01,1200.0
FI00-SE01 Real 1,800.0
FI00-SE02 Concept 1,500.0
FI00-SE02 Virtual 1,500.0
FI00-SE03,1200.0
FR00-BE00 Real 1,1000.0
FR00-CH00 Real 1,500.0
FR00-CH00 Real 2,100.0
FR00-DE00 Real 1,1500.0
FR00-FR00EV2W,33702.26982131
FR00-FR00RETE,100000.0
FR00-IT00,2000.0
FR00-IT00 Concept 1,1000.0
FR00RETE-FR00EV2W,3753.8244913
FR00-UK00,4000.0
FR00-UK00 Real 2,1400.0
FR15-IT00,130.0
GR00-GR00EV2W,5923.06008205
GR00-GR00RETE,100000.0
GR00-GR03,800.0
GR00H2MT-IT00H2MT (1) Expansion,7406.25
GR00-IT00,500.0
GR00-MA00 Real 1,2000.0
GR00-MK00,850.0
GR00-MK00 Concept 1,500.0
GR00-MK00 Real 1,500.0
GR00RETE-GR00EV2W,440.20284393
GR00-TR00,580.0
GR00-TR00 Concept 1,500.0
GR00-TR00 Concept 2,500.0
GR00-TR00 Real 1,600.0
GR00-TR00 Virtual 1,500.0
GR00-TR00 Virtual 2,500.0
GR03-GR00 Real 1,2000.0
HR00H2MT-HU00H2MT (1) Expansion,1121.175
HR00H2MT-SI00H2MT (1) Expansion,240.625
HR00-HR00EV2W,2384.43123328
HR00-HR00RETE,100000.0
HR00-HU00,1700.0
HR00RETE-HR00EV2W,134.13511225
HR00-RS00,500.0
HR00-RS00 Concept 1,500.0
HR00-RS00 Real 1,600.0
HR00-SI00,2000.0
HU00H2MT-RO00H2MT (1) Expansion,23300.0
HU00H2MT-RO00H2MT (2) Expansion,7766.666667
HU00H2MT-SK00H2MT (1) Expansion,20868.75
HU00H2MT-SK00H2MT (2) Expansion,6956.25
HU00-HU00EV2W,4961.66044827
HU00-HU00RETE,100000.0
HU00RETE-HU00EV2W,298.10389066
HU00-RO00,1100.0
HU00-RS00,750.0
HU00-RS00 Real 1,500.0
HU00-SI00,1200.0
HU00-SK00,2600.0
HU00-SK00 Concept 2,500.0
HU00-UA01,650.0
IE00H2MT-UK00H2MT (1) Expansion,4343.75
IE00H2MT-UK00H2MT (2) Expansion,246.14583339
IE00H2MT-UKNIH2MT,100000.0
IE00-IE00EV2W,4140.09789599
IE00-IE00RETE,100000.0
IE00RETE-IE00EV2W,230.97973183
IE00-UK00,500.0
IE00-UK00 Real 1,504.0
IE00-UK00 Real 2,750.0
IE00-UKNI,1200.0
IT00-AT00 Real 1,150.0
IT00-CH00 Real 1,1000.0
IT00-CH00 Real 2,200.0
IT00H2MT-SI00H2MT (1) Expansion,884.375
IT00-IT00EV2W,38564.626027720005
IT00-IT00RETE,600000.0
IT00-ME00,600.0
IT00-MT00,200.0
IT00RETE-IT00EV2W,2949.8578539
IT00-SI00,650.0
IT00-SI00 Real 1,125.0
IT00-SI00 Real 2,120.0
LT00H2MT-LV00H2MT (1) Expansion,4077.1875
LT00H2MT-LV00H2MT (2) Expansion,298.99375
LT00H2MT-PL00H2MT (1) Expansion,1821.875
LT00H2MT-PL00H2MT (2) Expansion,607.2916667
LT00-LT00EV2W,3074.03262548
LT00-LT00RETE,100000.0
LT00-LV00,950.0
LT00-PL00,500.0
LT00-PL00 Real 1,700.0
LT00RETE-LT00EV2W,75.06007979
LT00-SE04,700.0
LV00-LV00EV2W,2618.66594815
LV00-LV00RETE,100000.0
LV00RETE-LV00EV2W,59.35669632
MA00-ES00,600.0
ME00-RS00,550.0
MK00-AL00 Real 1,500.0
MK00-AL00 Virtual 1,1000.0
MK00-RS00,540.0
MK00-RS00 Concept 2,500.0
MK00-RS00 Virtual 2,500.0
NL00-NL00EV2W,5796.69816781
NL00-NL00RETE,100000.0
NL00-NOS0,700.0
NL00RETE-NL00EV2W,957.95001084
NL00-UK00,1000.0
NL00-UK00 Real 1,2000.0
NOM1-NON1,1300.0
NOM1-NOS0,1400.0
NOM1-SE02,1000.0
NON1-SE01,600.0
NON1-SE02,300.0
NOS0-SE03,2095.0
NOS0-UK00 Real 1,1400.0
NOS0-UK00 Real 2,1400.0
PL00H2MT-SK00H2MT (1) Expansion,4496.875
PL00H2MT-SK00H2MT (2) Expansion,1498.958333
PL00-PL00EV2W,12604.86041562
PL00-PL00RETE,100000.0
PL00RETE-PL00EV2W,951.00733948
PL00-SE04,600.0
PT00-PT00EV2W,7085.74854772
PT00-PT00RETE,100000.0
PT00RETE-PT00EV2W,413.31122901
RO00RETE-RO00EV2W,372.89474481
RO00-RO00EV2W,7390.79220408
RO00-RO00RETE,100000.0
RO00-RS00,680.0
RO00-RS00 Real 1,720.0
RO00-RS00 Real 2,600.0
RO00-UA01,150.0
SE01H2MT-SE02H2MT,100000.0
SE01RETE-SE01EV2W,70.40275337
SE01-SE01EV2W,2412.19546354
SE01-SE01RETE,100000.0
SE01-SE02,3300.0
SE02H2MT-SE03H2MT,100000.0
SE02RETE-SE02EV2W,119.74459997
SE02-SE02EV2W,2672.15687677
SE02-SE02RETE,100000.0
SE02-SE03,8900.0
SE03H2MT-SE04H2MT,100000.0
SE03-LV00 Real 1,500.0
SE03RETE-SE03EV2W,626.99951423
SE03-SE03EV2W,5346.04569649
SE03-SE03RETE,100000.0
SE03-SE04,2800.0
SE04RETE-SE04EV2W,169.14048167
SE04-SE04EV2W,2932.11828944
SE04-SE04RETE,100000.0
SI00RETE-SI00EV2W,123.42270175
SI00-SI00EV2W,3122.0230041
SI00-SI00RETE,100000.0
SK00-PL00 Concept 2,500.0
SK00RETE-SK00EV2W,169.04691185
SK00-SK00EV2W,3503.34566609
SK00-SK00RETE,100000.0
SK00-UA01,650.0
TN00-IT00,600.0
UK00-BE00 Real 1,1400.0
UK00-BE00 Real 2,1400.0
UK00-NOS0,1400.0
UK00RETE-UK00EV2W,3556.31254072
UK00-UK00EV2W,54872.33721247
UK00-UK00RETE,100000.0
UK00-UKNI,500.0
UK00-UKNI Real 1,700.0
UKNIRETE-UKNIEV2W,51.2645773
UKNI-UKNIEV2W,2486.12296028
UKNI-UKNIRETE,100000.0
